Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
41,Cole Caufield,24,MTL,RW,54,26,23,49,-2,14,18,8,0,4,19,4,0,163,16.0,283,963:17,17:50,2,5,28.6,20,42,14,43,,caufico01
42,Matt Duchene,34,DAL,C,53,18,31,49,10,6,13,5,0,4,20,11,0,93,19.4,186,916:18,17:17,266,219,54.8,12,19,15,44,,duchema01
43,Gabriel Vilardi,25,WPG,C,55,22,27,49,4,12,11,11,0,4,16,11,0,99,22.2,179,992:39,18:03,68,66,50.7,39,11,19,30,,vilarga01
44,Aleksander Barkov,29,FLA,C,45,13,35,48,0,12,6,6,1,1,20,12,3,103,12.6,212,913:56,20:19,412,281,59.5,44,52,17,27,,barkoal01
45,Tage Thompson,27,BUF,C,47,26,22,48,8,15,22,4,0,1,15,7,0,145,17.9,307,879:24,18:43,201,281,41.7,22,42,15,26,,thompta01
46,Nikolaj Ehlers,28,WPG,LW,46,16,31,47,11,6,12,4,0,3,17,14,0,116,13.8,225,722:55,15:43,2,8,20.0,18,26,11,37,,ehlerni01
47,Mark Stone,32,VEG,RW,40,13,34,47,19,6,10,3,0,2,17,16,1,78,16.7,131,790:37,19:46,3,5,37.5,23,25,27,48,,stonema01
48,Connor Bedard,19,CHI,C,53,15,31,46,-23,28,9,6,0,3,16,15,0,126,11.9,266,1064:37,20:05,146,275,34.7,29,27,16,52,,bedarco01
49,Josh Morrissey,29,WPG,D,55,7,39,46,8,22,6,1,0,1,22,17,0,113,6.2,275,1317:13,23:57,0,0,,83,33,24,54,,morrijo04
50,Rickard Rakell,31,PIT,RW,54,24,22,46,-14,10,19,5,0,1,15,7,0,141,17.0,273,1032:47,19:08,2,3,40.0,63,91,12,51,,rakelri01
